Date,Yeild (mm/mon)
1995/6,41.59221191
1995/7,27.04566241
1995/8,22.83379285
1995/9,14.17606098
1995/10,15.77501145
1995/11,24.51074092
1995/12,18.38793053
1996/1,20.00638041
1996/2,28.23512558
1996/3,11.99212861
1996/4,12.47961351
1996/5,91.60816294
1996/6,80.90299447
1996/7,36.40537254
1996/8,26.83116905
1996/9,17.29596435
1996/10,17.23746617
1996/11,16.12600059
1996/12,17.80294865
1997/1,24.02325601
1997/2,95.74203494
1997/3,35.72289368
1997/4,16.35999334
1997/5,23.75026447
1997/6,21.35183875
1997/7,14.5465495
1997/8,10.76366665
1997/9,9.301211947
1997/10,8.560234892
1997/11,8.813727041
1997/12,8.443238517
